Datum;Artikel;Menge;Umsatz
02.09.2026;Gipfeli;42;75.60
02.09.2026;Eistee;58;145.00
03.09.2026;Schoggibrötli;31;68.20
03.09.2026;Apfel;7;6.30
04.09.2026;Eistee;61;152.50
04.09.2026;Gipfeli;39;70.20
05.09.2026;Energydrink;24;84.00
05.09.2026;Eistee;66;165.00
08.09.2026;Gipfeli;44;79.20
09.09.2026;Schoggibrötli;28;61.60
10.09.2026;Eistee;73;182.50
11.09.2026;Apfel;3;2.70
12.09.2026;Gipfeli;51;91.80
15.09.2026;Eistee;69;172.50
16.09.2026;Energydrink;19;66.50
17.09.2026;Schoggibrötli;35;77.00
18.09.2026;Gipfeli;47;84.60
19.09.2026;Eistee;80;200.00
22.09.2026;Apfel;2;1.80
23.09.2026;Gipfeli;49;88.20
